Masculine-coded words,Feminine-coded words,Exclusive language
active,agree,ninja
adventurous,affectionate,rock star
aggress,child,age
ambitio,cheer,elderly
analy,collab,hobo
assert,commit,impoverished
athlet,communal,needy
autonom,compassion,poor
battle,connect,poverty-stricken
boast,considerate,homeless
challeng,cooperat,fortunate
champion,co-operat,unfortunate
compet,depend,addict
confident,emotiona,alcoholic
courag,empath,afflicted
decid,feel,stricken
decision,flatterable,suffers
decisive,gentle,victim
defend,honest,handicapable
determin,interpersonal,blind
domina,interdependen,crazy
dominant,interpersona,deranged
driven,inter-personal,insane
fearless,inter-dependen,loony
fight,inter-persona,lunatic
force,kind,mad
greedy,kinship,maniac
head-strong,loyal,nuts
headstrong,modesty,psycho
hierarch,nag,crippled
hostil,nurtur,dwarf
impulsive,pleasant,midget
independen,polite,dumb
individual,quiet,idiotic
intellect,respon,stupid
lead,sensitiv,handicapped
logic,submissive,lame
objective,support,specially-abled
opinion,sympath,wheelchair-bound
outspoken,tender,chairman
persist,together,ladies
principle,trust,gentlemen
reckless,understand,mankind
self-confiden,warm,manpower
self-relian,whin,accused
self-sufficien,enthusias,alleged
selfconfiden,inclusive,claimed
selfrelian,yield,admitted
selfsufficien,share,confessed
stubborn,sharin,dispute
superior,hardworking,sex
unreasonab,conscientious,flirting
excellen,depend,victim
superb,meticulous,christ
outstanding,thorough,church
unique,diligen,fatty
exceptional,dedicate,obese
unparalleled,careful,obesity
best,reliab,overweight
most,effort,pig
wonderful,assiduous,piggy
terrific,trust,able-bodied
fabulous,responsib,abnormal
magnificent,methodical,abnormality
remarkable,industrious,addict
extraordinar,busy,addiction
amazing,work,albino
supreme,persist,albinism
unmatched,organiz,alcoholic
talent,disciplined,alcoholism
intell,teach,amputation
smart,instruct,amputee
skill,educat,attention-deficit
ability,train,hyperactivity
genius,mentor,adhd
brilliant,supervis,autism
bright,adviser,autistic
brain,counselor,bipolar
aptitude,syllabus,blind
gift,syllabus,caregiver
capacity,course,caretaker
propensity,class,catatonia
innate,service,catatonic
flair,colleague,deaf
knack,citizen,deaf-blind
clever,communicate,deafblind
expert,lectur,deaf-mute
proficient,student,deformed
capable,present,dementia
adept,rapport,senility
able,she,depression
competent,her,disability
natural,her,differently-abled
inherent,hers,disfigurement
instinct,herself,disfigured
adroit,stewardess,diversabled
creative,actress,diversability
insight,wife,dyslexia
analytical,sister,dyslexic
research,,epilepsy
data,,epileptic
study,,freak
studies,,homebound
experiment,,housebound
scholarship,,identity-first
result,,poliomyelitis
test,,polio
finding,,post-polio
publication,,insane
publish,,insanity
vita,,psychopathology
method,,interabled
scien,,invalid
grant,,lamebrain
fund,,shrink
manuscript,,mongoloid
project,,non-disabled
journal,,neurodiversity
theor,,paraplegia
discover,,paraplegic
contribution,,patient
exceptional,,sick
he,,post-traumatic
him,,ptsd
his,,psychotic
himself,,psychosis
man,,quadriplegia
mankind,,quadriplegic
freshman,,retarded
man-made,,schizophrenia
chairman,,schizophrenic
mailman,,seizure
policeman,,spastic
steward,,spaz
actor,,special
congressman,,stuttering
husband,,stammering
brother,,suicide
fireman,,survivor
salesmen,,battle
alumni,,tetraplegia
ombudsman,,tetraplegic
upperclassmen,,trigger
lowerclassmen,,tourette
,,wheelchair
,,man
,,mankind
,,manpower
,,male
,,men
,,males
,,female
,,women
,,woman
,,females
,,foreman
,,mailman
,,salesmanship
,,housewives
,,undergraduate
,,mothering
,,deviant
,,disordered
,,dysfunctional
,,perverted
,,destructive
,,pedophilia
,,abuse
,,bestiality
,,bossy
,,guys
,,girl
,,girls
,,grandfather
,,gypped
,,ghetto
,,hacker
,,housekeeping
,,ladies
,,gals
,,ninja
,,rockstar
,,granny
,,geezer
,,dotty
,,upstart
,,brat
,,troublemaker
,,adoptee
,,divorc�e
,,divorc�
,,divorcee
,,cripple
,,non-verbal
,,psycho
